ticket_id,customer_id,complaint_category,complaint_date,severity
TICKET000080,CUST049736,Incorrect Charges,2024-08-26,5
TICKET000081,CUST051396,Delayed Refund,2025-03-31,3
TICKET000082,CUST015519,Account Locked,2024-12-02,10
TICKET000083,CUST004644,Delayed Refund,2024-08-12,8
TICKET000084,CUST041159,KYC Verification Delay,2025-03-23,2
TICKET000085,CUST097714,Card Not Working,2025-05-09,3
TICKET000086,CUST069846,Unauthorized Transaction,2024-10-05,2
TICKET000087,CUST051003,Mobile App Issues,2025-02-23,0
TICKET000088,CUST019206,Delayed Refund,2024-08-18,10
TICKET000089,CUST069997,Mobile App Issues,2024-10-01,0
TICKET000090,CUST036956,ATM Withdrawal Failed,2025-04-02,8
TICKET000091,CUST071007,Account Locked,2024-10-01,0
TICKET000092,CUST016519,Unauthorized Transaction,2025-02-06,9
TICKET000093,CUST032867,Card Not Working,2025-03-23,4
TICKET000094,CUST075614,Delayed Refund,2024-06-30,1
TICKET000095,CUST052745,Unauthorized Transaction,2024-09-02,1
TICKET000096,CUST099444,Card Not Working,2024-12-12,3
TICKET000097,CUST098372,KYC Verification Delay,2024-09-26,9
TICKET000098,CUST080181,Account Locked,2024-09-14,9
TICKET000099,CUST075885,Incorrect Charges,2024-07-29,10
TICKET000100,CUST027576,Card Not Working,2024-09-21,1
TICKET000101,CUST080778,Poor Customer Service,2024-11-05,1
TICKET000102,CUST056394,Poor Customer Service,2024-09-24,2
TICKET000103,CUST086522,Delayed Refund,2024-07-15,5
TICKET000104,CUST098966,Card Not Working,2025-04-16,3
TICKET000105,CUST001247,ATM Withdrawal Failed,2024-12-27,5
TICKET000106,CUST055079,ATM Withdrawal Failed,2024-11-06,0
TICKET000107,CUST006220,Card Not Working,2025-05-03,7
TICKET000108,CUST079132,Loan Application Rejected,2024-05-13,0
TICKET000109,CUST028007,Delayed Refund,2025-01-21,6
TICKET000110,CUST050324,ATM Withdrawal Failed,2024-11-30,6
TICKET000111,CUST066523,Poor Customer Service,2024-06-16,0
TICKET000112,CUST025916,ATM Withdrawal Failed,2024-05-24,6
TICKET000113,CUST023720,Card Not Working,2024-06-21,6
TICKET000114,CUST011235,Loan Application Rejected,2024-11-14,3
TICKET000115,CUST036176,Poor Customer Service,2025-04-28,6
TICKET000116,CUST061211,Incorrect Charges,2024-07-16,8
TICKET000117,CUST085438,Mobile App Issues,2024-06-03,1
TICKET000118,CUST088125,Card Not Working,2025-01-28,2
TICKET000119,CUST085047,Mobile App Issues,2024-10-27,3
TICKET000120,CUST077938,KYC Verification Delay,2025-03-09,9
TICKET000121,CUST005760,Loan Application Rejected,2025-05-09,8
TICKET000122,CUST006648,Poor Customer Service,2024-09-07,9
TICKET000123,CUST032221,Mobile App Issues,2024-11-23,6
TICKET000124,CUST089591,Loan Application Rejected,2024-11-08,1
TICKET000125,CUST021160,Account Locked,2024-10-04,10
TICKET000126,CUST096765,Poor Customer Service,2024-09-16,0
TICKET000127,CUST030330,Account Locked,2025-03-04,7
TICKET000128,CUST047394,Loan Application Rejected,2025-01-04,1
TICKET000129,CUST038773,ATM Withdrawal Failed,2024-05-20,7
TICKET000130,CUST039100,KYC Verification Delay,2025-03-13,5
TICKET000131,CUST096432,Unauthorized Transaction,2025-03-22,7
TICKET000132,CUST014014,KYC Verification Delay,2024-06-21,0
TICKET000133,CUST092425,Poor Customer Service,2025-01-04,3
TICKET000134,CUST080144,Delayed Refund,2025-03-16,0
TICKET000135,CUST061812,Mobile App Issues,2024-11-05,8
TICKET000136,CUST009307,Mobile App Issues,2025-05-05,5
TICKET000137,CUST011426,Incorrect Charges,2024-11-12,7
TICKET000138,CUST056611,Mobile App Issues,2024-11-27,1
TICKET000139,CUST041463,Account Locked,2025-01-16,10
TICKET000140,CUST081249,Incorrect Charges,2024-11-23,3
TICKET000141,CUST046228,Unauthorized Transaction,2025-05-10,7
TICKET000142,CUST015676,Loan Application Rejected,2024-12-05,7
TICKET000143,CUST052358,Unauthorized Transaction,2025-03-16,3
TICKET000144,CUST038574,Mobile App Issues,2024-12-11,10
TICKET000145,CUST033238,Poor Customer Service,2025-03-24,4
TICKET000146,CUST005291,KYC Verification Delay,2024-07-27,1
TICKET000147,CUST066381,Unauthorized Transaction,2024-06-10,1
TICKET000148,CUST003703,ATM Withdrawal Failed,2025-01-23,4
TICKET000149,CUST084911,Unauthorized Transaction,2024-06-19,10
TICKET000150,CUST017977,ATM Withdrawal Failed,2024-11-18,8
TICKET000151,CUST016425,Loan Application Rejected,2024-07-02,3
TICKET000152,CUST087211,Incorrect Charges,2025-04-11,2
TICKET000153,CUST002345,Mobile App Issues,2025-04-18,6
TICKET000154,CUST049232,Mobile App Issues,2024-12-22,2
TICKET000155,CUST022553,Account Locked,2024-07-21,8
TICKET000156,CUST055771,Loan Application Rejected,2024-11-19,3
TICKET000157,CUST086838,ATM Withdrawal Failed,2025-01-20,10
TICKET000158,CUST034361,Mobile App Issues,2024-12-19,7
TICKET000159,CUST072830,Card Not Working,2024-07-25,0
TICKET000160,CUST021495,KYC Verification Delay,2025-01-24,10
TICKET000161,CUST076698,KYC Verification Delay,2025-01-01,8
TICKET000162,CUST090642,Delayed Refund,2024-10-19,9
TICKET000163,CUST001211,Incorrect Charges,2024-09-14,7
TICKET000164,CUST000340,Poor Customer Service,2024-12-15,0
TICKET000165,CUST075513,Unauthorized Transaction,2024-11-10,0
TICKET000166,CUST010420,Loan Application Rejected,2025-04-21,10
TICKET000167,CUST054987,Account Locked,2025-01-09,3
TICKET000168,CUST030265,Account Locked,2024-07-16,1
TICKET000169,CUST030872,Unauthorized Transaction,2024-06-06,8
TICKET000170,CUST076522,Incorrect Charges,2024-11-30,1
TICKET000171,CUST091128,KYC Verification Delay,2024-07-08,3
TICKET000172,CUST092045,Account Locked,2025-02-25,3
TICKET000173,CUST013194,KYC Verification Delay,2024-11-20,4
TICKET000174,CUST093674,Loan Application Rejected,2024-11-16,7
TICKET000175,CUST093916,Incorrect Charges,2024-08-02,7
TICKET000176,CUST007561,Delayed Refund,2025-01-26,10
TICKET000177,CUST027688,Incorrect Charges,2024-09-07,4
TICKET000178,CUST020532,Unauthorized Transaction,2024-11-18,4
TICKET000179,CUST015061,KYC Verification Delay,2024-08-10,2
TICKET000180,CUST038382,Card Not Working,2024-11-23,1
TICKET000181,CUST044158,ATM Withdrawal Failed,2025-01-08,8
TICKET000182,CUST057764,Account Locked,2024-07-18,9
TICKET000183,CUST074850,Unauthorized Transaction,2024-10-14,2
TICKET000184,CUST079954,Loan Application Rejected,2025-01-25,9
TICKET000185,CUST090026,Loan Application Rejected,2025-03-21,6
TICKET000186,CUST029149,Poor Customer Service,2024-09-05,10
TICKET000187,CUST075969,KYC Verification Delay,2024-07-01,5
TICKET000188,CUST019212,Card Not Working,2024-09-12,4
TICKET000189,CUST091302,Loan Application Rejected,2025-02-22,1
TICKET000190,CUST093068,Account Locked,2025-04-25,8
TICKET000191,CUST029430,Unauthorized Transaction,2024-10-28,2
TICKET000192,CUST015196,Delayed Refund,2024-07-05,8
TICKET000193,CUST050828,Mobile App Issues,2024-11-16,3
TICKET000194,CUST089013,ATM Withdrawal Failed,2025-04-05,1
TICKET000195,CUST049169,Card Not Working,2025-01-16,2
TICKET000196,CUST042469,ATM Withdrawal Failed,2024-11-26,10
TICKET000197,CUST068975,Delayed Refund,2025-03-29,8
TICKET000198,CUST045535,Loan Application Rejected,2024-09-12,6
TICKET000199,CUST055384,KYC Verification Delay,2025-02-22,1
TICKET000200,CUST012310,Poor Customer Service,2024-08-22,4
TICKET000201,CUST070913,Account Locked,2024-12-22,2
TICKET000202,CUST036814,Unauthorized Transaction,2024-10-10,4
TICKET000203,CUST088271,KYC Verification Delay,2024-10-05,4
TICKET000204,CUST029099,KYC Verification Delay,2024-10-24,9
TICKET000205,CUST011129,ATM Withdrawal Failed,2024-09-09,2
TICKET000206,CUST027348,KYC Verification Delay,2024-08-10,2
TICKET000207,CUST071801,Account Locked,2024-07-21,1
TICKET000208,CUST083916,ATM Withdrawal Failed,2025-02-20,4
TICKET000209,CUST061304,Incorrect Charges,2025-02-09,4
TICKET000210,CUST048439,Poor Customer Service,2024-12-13,7
TICKET000211,CUST057692,Mobile App Issues,2025-01-26,9
TICKET000212,CUST081539,Mobile App Issues,2024-05-27,7
TICKET000213,CUST049777,KYC Verification Delay,2024-06-03,3
TICKET000214,CUST026007,ATM Withdrawal Failed,2025-05-07,3
TICKET000215,CUST086084,Card Not Working,2025-02-15,7
TICKET000216,CUST037633,ATM Withdrawal Failed,2024-06-25,7
TICKET000217,CUST054194,Account Locked,2025-04-10,9
TICKET000218,CUST041667,Unauthorized Transaction,2025-04-05,5
TICKET000219,CUST043480,Account Locked,2024-07-21,2
TICKET000220,CUST052991,Unauthorized Transaction,2025-04-14,1
TICKET000221,CUST036658,ATM Withdrawal Failed,2024-09-20,5
TICKET000222,CUST045507,KYC Verification Delay,2024-11-23,3
TICKET000223,CUST065033,ATM Withdrawal Failed,2024-06-16,7
TICKET000224,CUST027736,Poor Customer Service,2025-02-11,7
TICKET000225,CUST009130,Unauthorized Transaction,2025-04-22,10
TICKET000226,CUST014161,Unauthorized Transaction,2024-11-25,0
TICKET000227,CUST008438,Incorrect Charges,2024-07-26,6
TICKET000228,CUST052331,Unauthorized Transaction,2024-07-19,1
TICKET000229,CUST085525,Delayed Refund,2025-03-25,9
TICKET000230,CUST047420,Poor Customer Service,2025-03-18,0
TICKET000231,CUST067144,Incorrect Charges,2024-06-29,7
TICKET000232,CUST008089,ATM Withdrawal Failed,2025-01-27,0
TICKET000233,CUST062481,Incorrect Charges,2024-09-14,5
TICKET000234,CUST008889,KYC Verification Delay,2024-12-19,7
TICKET000235,CUST035670,Incorrect Charges,2025-04-01,2
TICKET000236,CUST042959,KYC Verification Delay,2025-03-22,9
TICKET000237,CUST054498,Account Locked,2024-08-27,1
TICKET000238,CUST013349,KYC Verification Delay,2025-01-28,9
TICKET000239,CUST084848,ATM Withdrawal Failed,2025-04-17,2
TICKET000240,CUST017960,Account Locked,2024-06-25,3
TICKET000241,CUST061327,Mobile App Issues,2025-04-12,9
TICKET000242,CUST068998,KYC Verification Delay,2025-04-27,1
TICKET000243,CUST022125,Incorrect Charges,2024-07-24,6
TICKET000244,CUST035088,KYC Verification Delay,2024-09-24,3
TICKET000245,CUST006467,Mobile App Issues,2025-03-18,9
TICKET000246,CUST069266,Account Locked,2024-11-02,10
TICKET000247,CUST072540,Loan Application Rejected,2024-10-19,8
TICKET000248,CUST046609,Delayed Refund,2024-10-14,9
TICKET000249,CUST021675,Incorrect Charges,2024-07-02,1
TICKET000250,CUST025631,Card Not Working,2024-11-22,8
TICKET000251,CUST095962,Account Locked,2024-07-31,4
TICKET000252,CUST026685,Account Locked,2024-06-18,3
TICKET000253,CUST016315,Delayed Refund,2024-12-12,5
TICKET000254,CUST014513,ATM Withdrawal Failed,2024-06-18,4
TICKET000255,CUST072689,Mobile App Issues,2024-09-27,10
TICKET000256,CUST004989,ATM Withdrawal Failed,2025-02-25,10
TICKET000257,CUST066989,Poor Customer Service,2024-09-01,7
TICKET000258,CUST005344,Loan Application Rejected,2025-04-02,7
TICKET000259,CUST071815,Mobile App Issues,2025-01-01,5
TICKET000260,CUST089686,Loan Application Rejected,2024-08-06,7
TICKET000261,CUST091965,Mobile App Issues,2024-06-14,5
TICKET000262,CUST034615,Mobile App Issues,2025-04-11,10
TICKET000263,CUST098989,ATM Withdrawal Failed,2024-10-22,7
TICKET000264,CUST067386,KYC Verification Delay,2024-06-16,4
TICKET000265,CUST014017,Unauthorized Transaction,2024-11-23,8
TICKET000266,CUST044890,Account Locked,2025-02-10,4
TICKET000267,CUST091113,Delayed Refund,2024-05-30,7
TICKET000268,CUST007671,Mobile App Issues,2024-09-18,3
TICKET000269,CUST002256,Card Not Working,2025-04-11,4
TICKET000270,CUST073669,Poor Customer Service,2024-08-08,7
TICKET000271,CUST071767,Card Not Working,2024-12-07,3
TICKET000272,CUST078762,Incorrect Charges,2025-02-16,7
TICKET000273,CUST033583,Incorrect Charges,2024-06-01,1
TICKET000274,CUST063711,KYC Verification Delay,2024-08-07,7
TICKET000275,CUST087951,Delayed Refund,2025-03-02,0
TICKET000276,CUST016360,Delayed Refund,2024-12-03,6
TICKET000277,CUST021117,Unauthorized Transaction,2024-10-19,6
TICKET000278,CUST043575,KYC Verification Delay,2024-06-14,4
TICKET000279,CUST009946,Mobile App Issues,2025-01-10,5
TICKET000280,CUST013902,Incorrect Charges,2024-10-15,10
TICKET000281,CUST008401,Incorrect Charges,2024-08-20,10
TICKET000282,CUST087172,Unauthorized Transaction,2025-01-30,1
TICKET000283,CUST084434,Poor Customer Service,2024-10-17,5
TICKET000284,CUST047166,Unauthorized Transaction,2024-12-02,9
TICKET000285,CUST071077,Mobile App Issues,2024-12-10,6
TICKET000286,CUST049284,ATM Withdrawal Failed,2024-10-18,10
TICKET000287,CUST001888,Unauthorized Transaction,2024-05-18,7
TICKET000288,CUST091533,Mobile App Issues,2024-10-10,3
TICKET000289,CUST091648,Incorrect Charges,2024-08-19,7
TICKET000290,CUST027967,ATM Withdrawal Failed,2024-05-19,3
TICKET000291,CUST078504,Unauthorized Transaction,2024-09-14,8
TICKET000292,CUST019811,Incorrect Charges,2024-06-17,8
TICKET000293,CUST091037,Unauthorized Transaction,2025-04-11,5
TICKET000294,CUST004776,KYC Verification Delay,2025-01-02,10
TICKET000295,CUST046229,Unauthorized Transaction,2024-10-15,8
TICKET000296,CUST069651,Poor Customer Service,2024-08-02,1
TICKET000297,CUST002370,Mobile App Issues,2024-10-23,5
TICKET000298,CUST097794,Account Locked,2024-09-19,8
TICKET000299,CUST082111,Poor Customer Service,2024-06-19,3
TICKET000300,CUST054773,Loan Application Rejected,2024-12-28,3
TICKET000301,CUST052586,KYC Verification Delay,2024-12-19,0
TICKET000302,CUST063928,ATM Withdrawal Failed,2025-04-30,10
TICKET000303,CUST077013,Card Not Working,2024-05-24,10
TICKET000304,CUST009851,Poor Customer Service,2024-05-20,7
TICKET000305,CUST060435,Delayed Refund,2024-07-28,6
TICKET000306,CUST035011,Account Locked,2025-01-10,8
TICKET000307,CUST090878,Incorrect Charges,2024-07-29,6
TICKET000308,CUST082855,Poor Customer Service,2024-08-14,5
TICKET000309,CUST032133,Loan Application Rejected,2024-09-26,6
TICKET000310,CUST060773,KYC Verification Delay,2024-05-29,7
TICKET000311,CUST011180,Mobile App Issues,2025-01-06,1
TICKET000312,CUST042117,ATM Withdrawal Failed,2024-09-01,2
TICKET000313,CUST096051,Unauthorized Transaction,2024-06-27,6
TICKET000314,CUST016447,KYC Verification Delay,2024-10-02,1
TICKET000315,CUST079736,ATM Withdrawal Failed,2025-04-18,2
TICKET000316,CUST085202,Incorrect Charges,2025-04-03,6
TICKET000317,CUST069738,Delayed Refund,2025-05-07,0
TICKET000318,CUST008120,Mobile App Issues,2024-05-27,8
TICKET000319,CUST024237,Mobile App Issues,2024-07-10,2
TICKET000320,CUST084893,Delayed Refund,2025-02-05,7
TICKET000321,CUST095596,Mobile App Issues,2025-02-24,0
TICKET000322,CUST016309,Loan Application Rejected,2025-03-29,2
TICKET000323,CUST042242,Delayed Refund,2025-03-03,9
TICKET000324,CUST058887,ATM Withdrawal Failed,2024-05-13,10
TICKET000325,CUST048879,Unauthorized Transaction,2025-01-10,2
TICKET000326,CUST017308,ATM Withdrawal Failed,2024-12-19,10
TICKET000327,CUST007661,ATM Withdrawal Failed,2024-07-02,2
TICKET000328,CUST008296,Loan Application Rejected,2025-02-08,2
TICKET000329,CUST057098,KYC Verification Delay,2025-01-19,7
TICKET000330,CUST010236,Mobile App Issues,2025-02-04,2
TICKET000331,CUST013574,Loan Application Rejected,2024-08-23,2
TICKET000332,CUST029239,Delayed Refund,2024-10-18,10
TICKET000333,CUST020584,Account Locked,2024-12-17,6
TICKET000334,CUST001657,Incorrect Charges,2025-05-12,1
TICKET000335,CUST070810,Poor Customer Service,2025-04-04,10
TICKET000336,CUST041347,Poor Customer Service,2024-12-18,7
TICKET000337,CUST080354,Poor Customer Service,2024-08-10,9
TICKET000338,CUST091827,Unauthorized Transaction,2025-05-02,8
TICKET000339,CUST093718,Loan Application Rejected,2024-12-19,2
TICKET000340,CUST040117,ATM Withdrawal Failed,2024-09-01,6
TICKET000341,CUST041662,Incorrect Charges,2025-03-26,3
TICKET000342,CUST062406,Poor Customer Service,2025-01-11,9
TICKET000343,CUST058686,Delayed Refund,2024-08-24,9
TICKET000344,CUST040208,Account Locked,2024-11-26,2
TICKET000345,CUST009268,KYC Verification Delay,2024-12-30,3
TICKET000346,CUST071244,Loan Application Rejected,2024-07-12,1
TICKET000347,CUST078781,Incorrect Charges,2025-01-28,4
TICKET000348,CUST099097,Loan Application Rejected,2025-01-30,2
TICKET000349,CUST081749,Delayed Refund,2024-06-12,5
TICKET000350,CUST025944,Poor Customer Service,2025-03-25,7
TICKET000351,CUST028734,KYC Verification Delay,2024-07-03,0
TICKET000352,CUST036369,Unauthorized Transaction,2025-05-02,2
TICKET000353,CUST025122,Incorrect Charges,2024-09-01,10
TICKET000354,CUST074894,Poor Customer Service,2025-05-04,4
TICKET000355,CUST092795,Loan Application Rejected,2024-07-18,3
TICKET000356,CUST004516,ATM Withdrawal Failed,2025-04-05,0
TICKET000357,CUST017736,Loan Application Rejected,2024-07-05,5
TICKET000358,CUST055826,Poor Customer Service,2025-02-08,2
TICKET000359,CUST003306,KYC Verification Delay,2025-03-11,10
TICKET000360,CUST088657,ATM Withdrawal Failed,2024-12-07,0
TICKET000361,CUST006702,KYC Verification Delay,2024-09-12,6
TICKET000362,CUST052006,Account Locked,2024-06-02,9
TICKET000363,CUST017912,ATM Withdrawal Failed,2025-02-06,4
TICKET000364,CUST026506,KYC Verification Delay,2025-02-10,8
TICKET000365,CUST002276,KYC Verification Delay,2024-09-17,6
TICKET000366,CUST084647,Loan Application Rejected,2025-02-12,9
TICKET000367,CUST017449,Mobile App Issues,2024-05-19,8
TICKET000368,CUST053201,Unauthorized Transaction,2024-12-18,3
TICKET000369,CUST070251,Account Locked,2024-12-30,0
TICKET000370,CUST060936,KYC Verification Delay,2024-11-03,6
TICKET000371,CUST024581,Delayed Refund,2024-10-12,5
TICKET000372,CUST000520,Delayed Refund,2024-08-31,6
TICKET000373,CUST013979,Poor Customer Service,2025-04-17,3
TICKET000374,CUST042988,ATM Withdrawal Failed,2024-08-16,6
TICKET000375,CUST043282,Account Locked,2025-03-26,5
TICKET000376,CUST075320,ATM Withdrawal Failed,2024-08-24,4
TICKET000377,CUST013039,Unauthorized Transaction,2024-06-15,1
TICKET000378,CUST088089,KYC Verification Delay,2025-01-21,5
TICKET000379,CUST071722,Loan Application Rejected,2024-06-29,7
TICKET000380,CUST095616,Incorrect Charges,2025-05-01,8
TICKET000381,CUST058723,Poor Customer Service,2024-09-07,4
TICKET000382,CUST017096,Delayed Refund,2025-02-25,6
TICKET000383,CUST091052,Unauthorized Transaction,2024-10-03,8
TICKET000384,CUST066325,Mobile App Issues,2025-05-09,4
TICKET000385,CUST058300,Unauthorized Transaction,2024-08-23,0
TICKET000386,CUST089681,Incorrect Charges,2024-10-18,4
TICKET000387,CUST047025,Account Locked,2024-11-28,6
TICKET000388,CUST091176,Card Not Working,2024-05-14,0
TICKET000389,CUST076996,Account Locked,2024-12-03,7
TICKET000390,CUST051770,Loan Application Rejected,2025-02-20,5
TICKET000391,CUST058905,Loan Application Rejected,2024-10-24,4
TICKET000392,CUST064826,Unauthorized Transaction,2024-09-20,0
TICKET000393,CUST032412,Incorrect Charges,2024-06-08,1
TICKET000394,CUST084861,Card Not Working,2024-05-31,5
TICKET000395,CUST055752,ATM Withdrawal Failed,2024-05-23,5
TICKET000396,CUST080229,Unauthorized Transaction,2024-10-29,2
TICKET000397,CUST003873,Incorrect Charges,2024-11-13,8
TICKET000398,CUST006416,Unauthorized Transaction,2025-01-11,7
TICKET000399,CUST075898,Card Not Working,2024-07-01,4
TICKET000400,CUST030802,Loan Application Rejected,2025-02-07,4
TICKET000401,CUST091588,ATM Withdrawal Failed,2025-04-19,8
TICKET000402,CUST083839,ATM Withdrawal Failed,2025-02-10,0
TICKET000403,CUST041961,Mobile App Issues,2024-06-07,5
TICKET000404,CUST070891,Mobile App Issues,2025-03-07,3
TICKET000405,CUST079941,Loan Application Rejected,2024-10-04,1
TICKET000406,CUST082717,Unauthorized Transaction,2024-11-01,5
TICKET000407,CUST076769,Account Locked,2025-03-05,10
TICKET000408,CUST042527,KYC Verification Delay,2024-11-14,10
TICKET000409,CUST055009,Incorrect Charges,2024-08-03,9
TICKET000410,CUST023936,Delayed Refund,2024-09-04,9
TICKET000411,CUST041296,Loan Application Rejected,2025-01-29,9
TICKET000412,CUST020125,Loan Application Rejected,2024-09-29,7
TICKET000413,CUST050319,Incorrect Charges,2025-01-23,1
TICKET000414,CUST010912,KYC Verification Delay,2025-01-08,6
TICKET000415,CUST099854,KYC Verification Delay,2024-08-12,4
TICKET000416,CUST057878,Loan Application Rejected,2024-07-02,8
TICKET000417,CUST072464,Poor Customer Service,2024-11-03,3
TICKET000418,CUST097153,KYC Verification Delay,2024-12-26,2
TICKET000419,CUST035066,Mobile App Issues,2024-07-23,1
TICKET000420,CUST082089,Unauthorized Transaction,2025-04-28,0
TICKET000421,CUST079300,Card Not Working,2025-03-07,6
TICKET000422,CUST080175,Mobile App Issues,2024-11-08,10
TICKET000423,CUST085689,Loan Application Rejected,2025-05-12,5
TICKET000424,CUST099917,Mobile App Issues,2025-02-05,2
TICKET000425,CUST038580,Loan Application Rejected,2024-08-02,0
TICKET000426,CUST059031,Mobile App Issues,2024-06-15,6
TICKET000427,CUST098751,ATM Withdrawal Failed,2025-02-21,1
TICKET000428,CUST064907,Incorrect Charges,2024-05-13,10
TICKET000429,CUST057770,Poor Customer Service,2025-01-28,5
TICKET000430,CUST059105,KYC Verification Delay,2024-05-31,5
TICKET000431,CUST010807,Incorrect Charges,2025-01-13,3
TICKET000432,CUST007758,Poor Customer Service,2025-04-14,0
TICKET000433,CUST010266,Unauthorized Transaction,2024-08-09,2
TICKET000434,CUST075203,Card Not Working,2024-05-23,8
TICKET000435,CUST028135,Account Locked,2025-01-19,1
TICKET000436,CUST061244,Account Locked,2024-10-21,4
TICKET000437,CUST056734,Poor Customer Service,2024-07-13,6
TICKET000438,CUST033652,Mobile App Issues,2025-01-26,7
TICKET000439,CUST025565,Mobile App Issues,2025-04-20,8
TICKET000440,CUST093923,Loan Application Rejected,2025-05-01,3
TICKET000441,CUST024832,Incorrect Charges,2024-08-13,9
TICKET000442,CUST064906,ATM Withdrawal Failed,2025-04-02,0
TICKET000443,CUST059106,Card Not Working,2025-03-08,7
TICKET000444,CUST001575,Card Not Working,2024-09-29,0
